lake,start_date,end_date,start_area,end_area,mid_season,duration,type,area_loss,area_loss_pct,PDD_start,PDD_eos,PDD_pct
lk4,19/07/2021,20/07/2021,1070000,17800,0,1,rapid,1052200,98.3,43,84,51.2
lk5,06/07/2018,07/07/2018,1125800,21700,0,1,rapid,1104100,98.1,11,54,20.4
lk4,06/07/2018,07/07/2018,850600,17900,0,1,rapid,832700,97.9,11,54,20.4
lk4,24/07/2016,25/07/2016,1441100,44200,0,1,rapid,1396900,96.9,48,84,57.1
lk1,14/06/2019,17/06/2019,610100,20600,1,3,rapid,589500,96.6,28,111,25.2
lk1,06/07/2018,10/07/2018,512400,17400,1,4,rapid,495000,96.6,11,54,20.4
lk12,25/06/2020,27/06/2020,696300,38500,1,2,rapid,657800,94.5,16,78,20.5
lk5,25/06/2019,26/06/2019,1570300,92400,0,1,rapid,1477900,94.1,38,111,34.2
lk6,21/06/2018,24/06/2018,251500,15600,0,3,rapid,235900,93.8,7,54,13.0
lk4,21/07/2022,24/07/2022,1048700,66900,0,3,rapid,981800,93.6,29,81,35.8
lk10,30/05/2019,01/06/2019,255600,17000,1,2,rapid,238600,93.3,17,111,15.3
lk3,28/05/2019,30/05/2019,464500,61800,1,2,rapid,402700,86.7,16,111,14.4
lk4,08/07/2020,10/07/2020,973600,144400,0,2,rapid,829200,85.2,25,78,32.1
lk1,15/07/2021,17/07/2021,524100,129000,1,2,rapid,395100,75.4,39,84,46.4
lk11,14/07/2019,17/07/2019,162800,40300,1,3,rapid,122500,75.2,55,111,49.5
lk3,26/06/2021,27/06/2021,270500,70500,1,1,rapid,200000,73.9,26,84,31.0
lk8,26/06/2019,29/06/2019,1220600,372300,1,3,rapid,848300,69.5,39,111,35.1
lk11,11/07/2016,14/07/2016,146400,49100,1,3,rapid,97300,66.5,35,84,41.7
lk2,18/07/2018,22/07/2018,444600,152200,1,4,rapid,292400,65.8,19,54,35.2
lk3,05/06/2021,09/06/2021,204500,83900,1,4,rapid,120600,59.0,15,84,17.9
lk3,24/07/2022,28/07/2022,143300,67300,1,4,rapid,76000,53.0,31,81,38.3
lk11,18/08/2019,19/08/2019,65000,34500,1,1,rapid,30500,46.9,90,111,81.1
