date,temp (C),PDD,ice velocity front (m/day),lk1_area,lk2_area,lk3_area,lk4_area,lk5_area,lk6_area,lk7_area,lk8_area,lk9_area,lk10_area,lk11_area,lk12_area
01/01/2016,-23.60433333,0,,,,,,,,,,,,,
02/01/2016,-22.66266667,0,,,,,,,,,,,,,
03/01/2016,-17.196,0,,,,,,,,,,,,,
04/01/2016,-10.15016667,0,,,,,,,,,,,,,
05/01/2016,-5.612666667,0,,,,,,,,,,,,,
06/01/2016,-5.471,0,,,,,,,,,,,,,
07/01/2016,-8.537666667,0,,,,,,,,,,,,,
08/01/2016,-5.891833333,0,33.48395342,,,,,,,,,,,,
09/01/2016,-16.021,0,,,,,,,,,,,,,
10/01/2016,-14.10433333,0,,,,,,,,,,,,,
11/01/2016,-15.62516667,0,,,,,,,,,,,,,
12/01/2016,-13.32516667,0,,,,,,,,,,,,,
13/01/2016,-12.25433333,0,,,,,,,,,,,,,
14/01/2016,-14.57933333,0,,,,,,,,,,,,,
15/01/2016,-11.05016667,0,,,,,,,,,,,,,
16/01/2016,-10.496,0,,,,,,,,,,,,,
17/01/2016,-5.050166667,0,,,,,,,,,,,,,
18/01/2016,-6.904333333,0,,,,,,,,,,,,,
19/01/2016,-1.812666667,0,31.63151233,,,,,,,,,,,,
20/01/2016,-4.866833333,0,,,,,,,,,,,,,
21/01/2016,-9.746,0,,,,,,,,,,,,,
22/01/2016,-15.20016667,0,,,,,,,,,,,,,
23/01/2016,-19.4335,0,,,,,,,,,,,,,
24/01/2016,-17.22516667,0,,,,,,,,,,,,,
25/01/2016,-19.41683333,0,,,,,,,,,,,,,
26/01/2016,-19.63585507,0,,,,,,,,,,,,,
27/01/2016,-22.93766667,0,,,,,,,,,,,,,
28/01/2016,-21.75016667,0,,,,,,,,,,,,,
29/01/2016,-17.846,0,,,,,,,,,,,,,
30/01/2016,-18.70016667,0,32.69622192,,,,,,,,,,,,
31/01/2016,-22.76266667,0,,,,,,,,,,,,,
01/02/2016,-21.65016667,0,,,,,,,,,,,,,
02/02/2016,-17.86266667,0,,,,,,,,,,,,,
03/02/2016,-11.57933333,0,,,,,,,,,,,,,
04/02/2016,-12.48766667,0,,,,,,,,,,,,,
05/02/2016,-16.60016667,0,,,,,,,,,,,,,
06/02/2016,-20.61683333,0,,,,,,,,,,,,,
07/02/2016,-16.80433333,0,,,,,,,,,,,,,
08/02/2016,-17.396,0,,,,,,,,,,,,,
09/02/2016,-18.60016667,0,,,,,,,,,,,,,
10/02/2016,-23.096,0,31.65881918,,,,,,,,,,,,
11/02/2016,-25.85433333,0,32.04093973,,,,,,,,,,,,
12/02/2016,-23.81846377,0,,,,,,,,,,,,,
13/02/2016,-19.5835,0,,,,,,,,,,,,,
14/02/2016,-17.196,0,,,,,,,,,,,,,
15/02/2016,-9.029333333,0,,,,,,,,,,,,,
16/02/2016,-10.0585,0,,,,,,,,,,,,,
17/02/2016,-18.97933333,0,,,,,,,,,,,,,
18/02/2016,-16.83766667,0,,,,,,,,,,,,,
19/02/2016,-18.20016667,0,,,,,,,,,,,,,
20/02/2016,-21.54183333,0,,,,,,,,,,,,,
21/02/2016,-15.57516667,0,32.87113973,,,,,,,,,,,,
22/02/2016,-6.079333333,0,32.38229589,,,,,,,,,,,,
23/02/2016,-3.650166667,0,,,,,,,,,,,,,
24/02/2016,-10.57516667,0,,,,,,,,,,,,,
25/02/2016,-14.0335,0,,,,,,,,,,,,,
26/02/2016,-16.01266667,0,,,,,,,,,,,,,
27/02/2016,-6.22715942,0,,,,,,,,,,,,,
28/02/2016,-2.754333333,0,,,,,,,,,,,,,
29/02/2016,-5.933878788,0,,,,,,,,,,,,,
01/03/2016,-12.5835,0,,,,,,,,,,,,,
02/03/2016,-11.45433333,0,,,,,,,,,,,,,
03/03/2016,-12.70433333,0,32.60324932,,,,,,,,,,,,
04/03/2016,-8.729333333,0,31.5082,,,,,,,,,,,,
05/03/2016,-6.0335,0,,,,,,,,,,,,,
06/03/2016,-11.646,0,,,,,,,,,,,,,
07/03/2016,-16.75433333,0,,,,,,,,,,,,,
08/03/2016,-16.98766667,0,,,,,,,,,,,,,
09/03/2016,-9.812666667,0,,,,,,,,,,,,,
10/03/2016,-7.571,0,,,,,,,,,,,,,
11/03/2016,-19.32933333,0,,,,,,,,,,,,,
12/03/2016,-20.67516667,0,,,,,,,,,,,,,
13/03/2016,-20.24183333,0,,,,,,,,,,,,,
14/03/2016,-21.57516667,0,32.26458356,,,,,,,,,,,,
15/03/2016,-17.35016667,0,32.96176986,,,,,,,,,,,,
16/03/2016,-8.262666667,0,,,,,,,,,,,,,
17/03/2016,-8.162666667,0,,,,,,,,,,,,,
18/03/2016,-6.962666667,0,,,,,,,,,,,,,
19/03/2016,-8.817428571,0,,,,,,,,,,,,,
20/03/2016,-11.60433333,0,,,,,,,,,,,,,
21/03/2016,-14.121,0,,,,,,,,,,,,,
22/03/2016,-12.50433333,0,,,,,,,,,,,,,
23/03/2016,-10.33766667,0,,,,,,,,,24300,,,,
24/03/2016,-5.396,0,,,,,,,,,,,,,
25/03/2016,-10.10016667,0,32.21283014,,,,,,,,,,,,
26/03/2016,-12.77516667,0,32.32155068,,,,,,,,,,,,
27/03/2016,-12.65016667,0,,,,,,,,,,,,,
28/03/2016,-13.81266667,0,,,,,,,,,,,,,
29/03/2016,-16.0835,0,,,,,,,,,,,,,
30/03/2016,-17.31683333,0,,,,,,,,,49800,,,,
31/03/2016,-16.72516667,0,,,,,,,,,,,,,
01/04/2016,-15.81266667,0,,,,,,,,,,,,,
02/04/2016,-15.7585,0,,,,,,,,,27700,,,,
03/04/2016,-15.72933333,0,,,,,,,,,,,,,
04/04/2016,-0.770242424,0,,,,,,,,,,,,,
05/04/2016,-1.0085,0,31.74704658,,,,,,,,,,,,
06/04/2016,-1.950166667,0,32.39475616,,,,,,,,102800,,,,
07/04/2016,-0.850166667,0,,,,,,,,,,,,,
08/04/2016,-2.5335,0,,,,,,,,,,,,,
09/04/2016,-5.854333333,0,,,,,,,,,,,,,
10/04/2016,-2.141833333,0,,,,,,,,,,,,,
11/04/2016,0.633166667,1,,,,,,,,,,,,,
12/04/2016,-3.0335,1,,,,,,,,,,,,,
13/04/2016,-5.866833333,1,,,,,,,,,,,,,
14/04/2016,-4.241833333,1,,,,,,,,,,,,,
15/04/2016,-7.746,1,,,,,,,,,,,,,
16/04/2016,-12.37933333,1,31.68906301,,,,,,,,,,,,
17/04/2016,-13.45433333,1,32.87596712,,,,,,,,,,,,
